Coverage,Date,Description,Rarity,Sense of the Modern,Source,Title,added,collection_id,collection_resource,collection_url,extended_resources_exhibit_pages,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url
"POINT(-8373512.2272976 4861054.8868311)|13|-8382160.957614|4866011.3317218|osm
","July 17th, 1961","""Four row houses collapse into the Mill Creek sewer near 50th and Funson St when the street crumbles beneath them....The first collapse that I could find happened in 1912; the last in 1961. Over the course of those fifty years there were at least nine cave ins over the length of the sewer. At least four people were killed, one ice cream truck fell in, at least two private vehicles fell in (including one which was never recovered, even having been searched for by police in a 14-foot aluminum rowboat in the sewer the following year). Well over 50 buildings were condemned, hundreds of people were forced to move, and in at least two cases the exposed sewer was left open for months at a time after the ground had collapsed(in one case, for at least a year - literally a chasm was opened at the foot of peoples homes, raw sewage flowing through it for a year.""

I cannot think of anything more unsettling than literally having the ground fall out under ones feet. Reading that paragraph was an experience in ongoing shock. 

Image of open sewer as reminder of death/not being in as much control of the world as we like to believe. ",8,2,"""Mill Creek Sewer - Building Collapse Jul, 1961 Funson Street"" and ""Mill Creek Sewer - Miscel"" at Temple University Urban Archives. ",Row Houses Collapse,2014-09-17T20:50:00+00:00,3,collections,http://ds.haverford.edu/lancasterproject/api/collections/3,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=38,38,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-12-03T16:39:41+00:00,3,users,http://ds.haverford.edu/lancasterproject/api/users/3,True,"class, discord, subterranean, underworld, urban decay",http://ds.haverford.edu/lancasterproject/api/items/38
"|3|0.0000000|0.0000000|osm
",1920,"A poem about Benjamin Franklin by Christopher Morley, a self-professed saunterer of Philadelphia:
<blockquote>Though he wrote verses, they weren’t very lyrical, <br />And he was touched with the taste for satirical. Though his more weighty affairs were so numerous, <br />Yet he was quaintly and constantly humorous, <br />Loved Philadelphians, but when he was one of them <br />Nothing he liked quite so well as make fun of them.</blockquote>
The person whose prose illustrates the spirit of capitalism for Max Weber is also the person who Morley considered the “first Philadelphian who dared to make jokes!”",5,4,"Christopher Morley, “Benjamin Franklin,” in idem, <em>Travels in Philadelphia</em> (Philadelphia: David McKay Company, 1920), 9.",Jocular spirit of capitalism,2014-09-20T03:15:36+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=39,39,18,Person,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/18,2014-12-03T16:26:02+00:00,10,users,http://ds.haverford.edu/lancasterproject/api/users/10,True,"discord, high-spirited triviality and the joke, idleness, idleness and pleasurable looking, joke, masculinity",http://ds.haverford.edu/lancasterproject/api/items/39
"||||osm
Radnor High School, Radnor, PA, 1940s",Second half of the 1940s,"Beauty overcomes faith in Radnor, Pennsylvania. The life of Anna Moffo was one of talent and beauty. ""Moffo first sang in Nick Moffo's shoe repair shop located near the Wayne train station. She sang ""Mighty Lak a Rose"" in school assemblies but never had a teacher and never thought of singing as a life. She was an athlete--on the hockey team and the basketball team and as captain of the tennis team. According to accounts of her girlhood, her legs got nearly as much attention at Radnor lacorsse meets as her performances on the field. After graduation in 1950, there were reportedly nibbles from Hollywood, but Moffo was still focused on the convent.""",4,3,"Mark Dixon, The Hidden History of the Main Line: From Philadelphia to Malvern, Charleston, SC: The History Press, 2010.",Still interested in the convent,2014-09-23T01:37:40+00:00,None,None,None,None,False,1,files,http://ds.haverford.edu/lancasterproject/api/files?item=40,40,18,Person,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/18,2014-12-03T00:12:46+00:00,11,users,http://ds.haverford.edu/lancasterproject/api/users/11,True,"desire, entertainment, femininity, idleness and pleasurable looking, legs, pleasure, religion, sex",http://ds.haverford.edu/lancasterproject/api/items/40
None,None,"A wagoner, next to a stage coach driver, was a man of immense importance, and they were inclined to be clanish.  They would not hesitate to unite against landlord, stage driver or coachman who might cross their path, as is instanced in the case when a wedding party were on their way to Philadelphia...When one of the gentlemen drivers, the foremost one (possibly the groom), but not of necessity, was paying more attention to his fair companion than his horses he drove against the leaders of one of the numerous wagons that were passing on in the same direction. It was an unpardonable offense and nothing short of an encounter in the stave yard or in front of the hotel could atone for such a breach of highway ethics, and at a point where the party stopped to rest before continuing their journey the wagoners overtook them and they immediately called on the gentleman for redress. But seeing one of the party they had known they claimed they would excuse him on his friend’s account, but the party offending would not have it so, and said no friend of his should excuse him from getting a beating if he deserved it, and I have no doubt he prided himself on his muscular abilities also. However, it was peaceably arranged and each pursued their way without any blood being shed or bones broken. That was one of the many similar occurrences which happened daily, many not ending so harmlessly.",1,1,"A. Exton Witmer. ""The Old Turnpike."" In Papers Read before the Lancaster County Historical Society on Nov. 5th, 1897 vol. 2 no. 3 (1897): 76-77.",Road Rage and Early Wagoner Justice,2014-09-23T23:55:13+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=41,41,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-19T18:48:18+00:00,9,users,http://ds.haverford.edu/lancasterproject/api/users/9,True,"class, hotel, justice, masculinity, threats, transportation, violence",http://ds.haverford.edu/lancasterproject/api/items/41
None,None,"It was considered a lasting disgrace for one of the stage taverns to entertain a wagoner and sure to lose the patronage of the better class of travel, should such become known. To show how carefully the line was drawn the following instance will illustrate: In the writer’s native village, about ten miles east of this city, when the tragic was unusually heave and all the wagon taverns were full, a wagoner applied to the proprietor of the stage hotel for shelter and refreshment, and after a great deal of consideration on his part and persuasion on the part of the wagoner he consented, provided he would take his departure early in the morning, before there was any likelihood of any aristocratic arrivals, or the time for the stage to arrive at this point. As soon as he had taken his departure the hostlers and stable boys were put to work to clean up every vestige of straw or litter in front of the hotel that would be an indication of having entertained a wagoner over night.",3,1,"A. Exton Witmer. ""The Old Turnpike,"" In Papers read before the Lancaster County Historical Society on Nov. 5, 1897 Vol. 2 No. 3 (1897): 78-79.",Class and Overnight Accommodations on Lancaster Ave.,2014-09-24T00:21:42+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=42,42,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-10-19T18:49:44+00:00,9,users,http://ds.haverford.edu/lancasterproject/api/users/9,True,"class, inns, transportation",http://ds.haverford.edu/lancasterproject/api/items/42
None,None,"""[P.T.] Barnum used to travel with his circus on foot and in wagons, an animal of much greater magnitude...gave him serious trouble. The elephant ""Hannibal,"" which killed several of his keepers afterwards, struck, not for higher wages, but for less hours, and after exhibiting in Coatesville was started for the next point, which was Lancaster, and when he reached the woods, which was not fenced in from the turnpike, turned in and would not be persuaded by his keeper to go further, and it required quite a number of men with ropes, clubs and goads to suppress him. When he passed through my native village he was in a very sorry condition and was too late to be exhibited in this city, nor do I think the great showman was very anxious, as he was not in a very good frame of mind, although they thought they had subdued him.""

Picture: ""Van Amburgh: The Mammoth Elephant Hannibal,"" published by T.W. Strong. Tibbals Digital Collection, John and Mable Ringling Museum of Art.

http://emuseum.ringling.org/emuseum/media/view/Objects/8673/51?t:state:flow=070ff014-4292-48ae-b26e-4725bfcaec7f",8,4,"A. Exton Witmer. ""The Old Turnpike."" In Papers read before the Lancaster County Historical Society on Nov. 5, 1897 Vol. 2 No. 3 (1897): 84.",Elephants on Parade!,2014-09-24T00:33:06+00:00,None,None,None,None,False,1,files,http://ds.haverford.edu/lancasterproject/api/files?item=43,43,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-12-03T20:08:00+00:00,9,users,http://ds.haverford.edu/lancasterproject/api/users/9,True,"advertisement, Animals, class, discord, entertainment, inns, nature, nature/vacuum, strike, transportation",http://ds.haverford.edu/lancasterproject/api/items/43
"POLYGON((-8381819.379644 4867358.2807944,-8381819.379644 4867358.2807944))|POLYGON((-8381628.2870733 4867219.7386806,-8381628.2870733 4867219.7386806))|POLYGON((-8381637.8417018 4867219.7386806,-8381637.8417018 4867219.7386806))|POLYGON((-8381814.6023297 4867348.7261659,-8381628.2870733 4867229.2933092,-8381676.060216 4867191.074795,-8381871.930100937 4867310.507651733,-8381814.6023297 4867348.7261659))|15|-8381750.1085871|4867194.6577807|osm
Lancaster Avenue, the block between Ardmore and Greenfield avenues, Ardmore, PA, 1890",None,"The Red Lion Hotel in 1890. The inn served as a major roadside fixture of the Lancaster Pike long before Ardmore (formerly Athensville) was established, opening in 1796 and closing in 1941, crippled by Prohibition.¹ The inn once stood on the block where the IHOP and a local car dealership now stand. <br /><br />¹Vigoda, “A Watering Hole And A Landmark.”",2,3,"<p>Cercone, Diana, Mary Beth Schwartz, and Bob Waite. <em>The Main Line: A Photographic Journal</em>. Newtown, PA: Town &amp; Country Living Magazines, 2007, 13.</p>
<p>Vigoda, Ralph. “A Watering Hole And A Landmark.” <em>Philly.com</em>. http://articles.philly.com/1991-11-17/news/25769903_1_lancaster-pike-pint-wagon.</p>
<p> </p>","Before IHOP, Red Lion",2014-09-24T01:39:07+00:00,None,None,None,None,False,1,files,http://ds.haverford.edu/lancasterproject/api/files?item=44,44,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-10-23T19:06:26+00:00,12,users,http://ds.haverford.edu/lancasterproject/api/users/12,True,"Ardmore, development, end of an era, hotel, mapme",http://ds.haverford.edu/lancasterproject/api/items/44
"||||osm
The Main Line, turn of the 20th century",None,"""By 1900 the railroad stations along the Main Line were in place, a string of pearls beckoning to all who wished to take advantage of the beautiful new neighborhoods that surrounded each station...Thousands of residents looked to Philadelphia for their income and to their new homes for comfort and leisure. And those train riders learned a new mnemonic to help them remember the 17 stations that meant ""home"": Old Maids Never Wed And Have Babies; Really Vicious Retrievers Snap Willingly, Snarl Dangerously, Beagles Don't, Period. In order from the the first stop after 30th Street Station, the original station names are Overbrook, Merion, Narberth, Wynnewood, Ardmore, Haverford, Bryn Mawr, Rosemont, Villanova, Radnor, St. Davids, Wayne, Strafford, Devon, Berwyn, Daylesford, and Paoli.""<br /><br />Here we see the beginning of the commute for the Main Line. The need to create a mnemonic to remember all of the train stops in order reflects the spread of the populace outside of Philadelphia.",5,5,"Cercone, Diana, Mary Beth Schwartz, and Bob Waite. <em>The Main Line: A Photographic Journal.</em> Newtown, PA: Town &amp; Country Living Magazines, 2007.",Trains and Word Games,2014-09-24T01:52:58+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=45,45,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-10-23T19:06:25+00:00,12,users,http://ds.haverford.edu/lancasterproject/api/users/12,True,"mapme, Railroad, suburbs, train, train stations, transportation, words",http://ds.haverford.edu/lancasterproject/api/items/45
"POLYGON((-8384567.5296756 4869211.281566,-8384474.3720474 4869146.7878234,-8384526.9225043 4869087.071395,-8384612.9141611 4869153.9537948,-8384567.5296756 4869211.281566))|16|-8384626.0517754|4869074.5309451|osm
800 block of West Lancaster Avenue, Bryn Mawr, PA, 1975",None,"A street view of Bryn Mawr during the winter. Based upon the location of the Suburban Hardware store, which is still in business, this photo was taken facing west.
The sign with a caricature of Groucho Marx that says ""YOU BET YOUR LIFE"": a store shop sign? If so, for what? Perhaps a comedy, joke, or curiosity shop. 
The Suburban Hardware store sign across the street still hangs over the Suburban Hardware entrance.",4,4,"<p>Cercone, Diana, Mary Beth Schwartz, and Bob Waite. <em>The Main Line: A Photographic Journal</em>. Newtown, PA: Town &amp; Country Living Magazines, 2007.</p>",You Bet Your Life,2014-09-24T01:57:23+00:00,None,None,None,None,False,1,files,http://ds.haverford.edu/lancasterproject/api/files?item=46,46,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-12-03T16:25:14+00:00,12,users,http://ds.haverford.edu/lancasterproject/api/users/12,True,"high-spirited triviality and the joke, idleness and pleasurable looking, idling, mapme, signs, streets",http://ds.haverford.edu/lancasterproject/api/items/46
None,1874,"""1874: The author of 'Philadelphia Gentlemen' provides an anecdote (cited in J.W. Townsend's ""The Old Main Line"") about how wives would wait for their husbands on the platform of the train stations and they came to be known as 'kissing stops.'"" There must be a specific kind of temporality brought about by the unfolding of the railway. Something about conjugal love might have changed.",5,4,"E. Digby Baltzell, <em>Philadelphia gentlemen; the making of a national upper class</em> (Glencoe, Ill: Free Press, 1958), 203.",Kissing station,2014-09-24T06:35:49+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=47,47,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-05T01:53:17+00:00,10,users,http://ds.haverford.edu/lancasterproject/api/users/10,False,"commute, marriage, romance",http://ds.haverford.edu/lancasterproject/api/items/47
None,None,"Technology provoked not only wonder but also fear. Fear was economic, too. ""Despite improvements made to the railroad in the 1870s and 80s, farmers remained afraid of damages from sparks and other associated dangers, and damage claims were high. 'As a result the decision was made to simply purchase whole farms, with the intent of developing them as country estates for the elite of Philadelphia. This was all done under the auspices of the Paoli Heights Land Development Company, whose board of directors bore a striking resemblance to that of the Pennsylvania Railroad.'"" ",None,None,"Aichele, 44.",Sparkling railroad,2014-09-24T06:41:33+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=48,48,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-19T18:54:23+00:00,10,users,http://ds.haverford.edu/lancasterproject/api/users/10,False,"end of an era, explosion, fear, technology, transportation",http://ds.haverford.edu/lancasterproject/api/items/48
None,None,"""1829: The 'Tom Thumb' was an experimental rail engine built by Peter Cooper in New York and tried on the Baltimore and Ohio Railroad in September. Corliss says it was 'the first locomotive to run on a common carrier railroad in the United States.' In August 1830 it races a horse and the horse wins."" A scene that captured the competing means of transportation. The race would later take place between later means of transportation, too. Of note is the propensity to mark the moment when such race becomes conceivable.",None,None,"Corliss, 6.",Rail engine versus horses,2014-09-24T06:50:17+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=49,49,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-19T18:55:00+00:00,10,users,http://ds.haverford.edu/lancasterproject/api/users/10,False,"end of an era, race, speed, transportation",http://ds.haverford.edu/lancasterproject/api/items/49
